Prep	Insts	Unique	Senses
a la	7	2	4
about	1	1	1
above	10	7	8
across	6	4	4
after	7	7	6
against	6	6	6
ahead of	5	4	5
all over	6	5	6
along	2	2	1
apropos of	1	1	1
around	1	1	1
as	78	61	12
at	218	146	178
bar	13	11	1
before	10	10	6
behind	9	8	8
below	9	5	6
beneath	1	1	1
beside	3	2	2
between	7	7	7
betwixt	1	1	0
beyond	13	13	13
by	97	83	77
cum	4	3	3
despite	1	1	1
down	26	17	6
ex	23	13	12
for	89	78	74
from	37	34	35
in	673	497	538
in spite of	1	1	1
into	2	2	2
less	1	1	0
like	59	53	56
more like	1	1	1
near	8	6	1
near to	1	1	1
of	56	42	48
off	56	45	42
on	391	260	321
on top of	1	1	1
out of	96	61	88
over	27	18	19
past	1	1	1
per	20	11	11
pro	21	8	12
round	6	4	4
sans	1	1	1
short of	1	1	1
this side of	1	1	1
through	2	2	1
till	1	1	1
to	115	100	73
under	70	57	57
until	2	2	2
up	46	28	20
up for	1	1	1
up to	33	17	19
upside	4	1	2
vice	1	1	0
with	63	51	52
within	14	11	11
without	17	17	17
	2484	1839	1891
